,Sample,QSR name?,Unit,Class (microns),Zircon,Tourmaline,Rutile,anatasio/brookite,Titanite,Apatite,Monazite,others,Epidote,Other LGM,Garnet,Chloritoid,Staurolite,Andalusite,Kyanite,Sillimanite,Amphibole,Cpx,Opx,Olivine,Spinel,Total,type,area
,CH12 17A,,Madoi,,17.3267326732673,2.47524752475248,0.495049504950495,0,1.98019801980198,3.96039603960396,0,0,14.3564356435644,0,14.8514851485149,0.99009900990099,0,0,0,0,30.6930693069307,9.40594059405941,3.46534653465347,0,0,100,,
,CH12 20,,Maqu,,6.31067961165049,2.9126213592233,0.485436893203883,0,0,5.33980582524272,0,0,22.3300970873786,0,8.7378640776699,0,0,0,0,0,50.9708737864078,2.42718446601942,0.485436893203883,0,0,100,,
,CH12 15,,Ledu,,2.32558139534884,1.86046511627907,0.465116279069767,0,0.465116279069767,2.32558139534884,0,0,15.3488372093023,0,9.30232558139535,0,0,0,0,0,67.906976744186,0,0,0,0,100,,
,S4506,,Lanzhou,,11.3924050632911,2.10970464135021,1.26582278481013,0,0.843881856540084,3.37552742616034,0,0,24.0506329113924,0,21.9409282700422,0,0.843881856540084,0,0,0,32.9113924050633,1.26582278481013,0,0,0,100,,
,CH11 YR 03,,Zhongning,,3.39805825242718,0.970873786407767,0.485436893203883,0,0.485436893203883,2.42718446601942,0,0,28.6407766990291,0,10.1941747572816,0,0,0,0,0,53.3980582524272,0,0,0,0,100,Yellow River,Yellow River
,CH11 YR 02,,Baode,,2.42718446601942,0,2.9126213592233,0,0.970873786407767,0.485436893203883,0,0,3.39805825242718,0,86.8932038834952,0,0,0,0,0.485436893203883,2.42718446601942,0,0,0,0,100,Yellow River,Yellow River
,S4511,,Yumenkou,,2.92682926829268,0.487804878048781,0,0,1.95121951219512,5.36585365853659,0,0,8.78048780487805,0,56.5853658536585,0,0.487804878048781,0,0,0,22.9268292682927,0.487804878048781,0,0,0,100,,
AB,CH11-YR-02,,Yellow River,40-64,6.12903225806452,8.38709677419355,2.90322580645161,0.645161290322581,8.38709677419355,10.9677419354839,0,0,23.2258064516129,0,26.1290322580645,0,1.93548387096774,0.32258064516129,0,0.645161290322581,8.06451612903226,0.32258064516129,1.93548387096774,0,0,100,Yellow River,Yellow River
AB,CH11-YR-02,,Yellow River,64-125,4.06779661016949,4.06779661016949,5.76271186440678,0,9.83050847457627,5.76271186440678,0,0,24.4067796610169,0,35.9322033898305,0,0.338983050847458,0,0,0,2.3728813559322,7.45762711864407,0,0,0,,Yellow River,Yellow River
AB,CH11-YR-02,,Yellow River,125-250,2.07612456747405,2.42214532871972,4.49826989619377,0.69204152249135,1.3840830449827,0.346020761245675,0,0,6.9204152249135,0,79.5847750865052,0,0.346020761245675,0,0,0,0.69204152249135,1.03806228373702,0,0,0,,Yellow River,Yellow River
AB,CH11-YR-03,,Yellow River,40-64,2.4390243902439,1.82926829268293,3.35365853658537,1.21951219512195,5.48780487804878,7.92682926829268,0,0,27.1341463414634,0,7.92682926829268,0,1.82926829268293,0,0,0.914634146341463,28.6585365853659,10.3658536585366,0.914634146341463,0,0,100,Yellow River,Yellow River
AB,CH11-YR-03,,Yellow River,64-125,5.84615384615385,6.15384615384615,4,0,2.15384615384615,1.84615384615385,0,0,22.7692307692308,3.07692307692308,6.76923076923077,2.76923076923077,2.15384615384615,0.923076923076923,0,0,28,13.5384615384615,0,0,0,,Yellow River,Yellow River
AB,CH11-YR-03,,Yellow River,125-250,1.01694915254237,0.338983050847458,2.71186440677966,0,4.74576271186441,0.338983050847458,0,0,32.8813559322034,0.338983050847458,1.01694915254237,0.338983050847458,0,0,0,0,41.6949152542373,10.8474576271186,2.3728813559322,1.35593220338983,0,,Yellow River,Yellow River
AB,CH11-YR-04,,Yellow River,40-64,4.53074433656958,1.29449838187702,5.17799352750809,0,4.53074433656958,0.323624595469256,0.323624595469256,0,25.5663430420712,0.647249190938511,5.17799352750809,2.26537216828479,0,1.29449838187702,2.58899676375405,0.323624595469256,32.3624595469256,12.9449838187702,0,0.647249190938511,0,,Yellow River,Yellow River
S&E,YR1A - Sandy,,Yellow River,5-15,2.94117647058823,3.43137254901961,1.96078431372549,0,4.41176470588235,4.41176470588235,0,0,36.2745098039216,0,7.84313725490196,0.490196078431373,0,0,0,0,31.3725490196078,6.86274509803922,0,0,0,,Yellow River,Yellow River
S&E,YR1A - Sandy,,Yellow River,15-63,3.98009950248756,2.48756218905473,0.99502487562189,0,4.97512437810945,6.46766169154229,0,0,38.3084577114428,0,5.4726368159204,0.497512437810945,0,0,0,0,30.8457711442786,5.97014925373134,0,0,0,,Yellow River,Yellow River
S&E,YR1A - Sandy,,Yellow River,>63,0.961538461538462,3.84615384615385,0.961538461538462,0,4.80769230769231,6.73076923076923,0,1.44230769230769,30.2884615384615,0,7.21153846153846,0,0,0,0,0,38.9423076923077,4.80769230769231,0,0,0,,Yellow River,Yellow River
S&E,YR1A - Sandy,,Yellow River,Combined,1.89184592156024,3.43951238726281,0.996630173296298,0,4.84647527276967,6.59527424751914,0,0.985212115943469,32.7786008129338,0,6.72053178387812,0.157485994026524,0,0,0,0,36.3897088680658,5.19872242274413,0,0,0,,Yellow River,Yellow River
S&E,YR1B - Muddy,,Yellow River,5-15,3.39805825242718,2.42718446601942,0.485436893203883,0.485436893203883,5.33980582524272,5.8252427184466,0,0,37.8640776699029,0,3.39805825242718,0.485436893203883,0,0,0,0,34.9514563106796,5.33980582524272,0,0,0,,Yellow River,Yellow River
S&E,YR1B - Muddy,,Yellow River,15-63,0.99502487562189,2.48756218905473,1.49253731343284,0,5.97014925373134,7.96019900497512,0,0.497512437810945,32.8358208955224,0,4.47761194029851,0,0,0,0,0,38.8059701492537,4.47761194029851,0,0,0,,Yellow River,Yellow River
S&E,YR1B - Muddy,,Yellow River,>63,0,3.3175355450237,0,0,3.3175355450237,1.8957345971564,0,1.4218009478673,28.9099526066351,0.4739336492891,6.63507109004739,0.947867298578199,0,0.4739336492891,0,0,45.0236966824645,7.58293838862559,0,0,0,,Yellow River,Yellow River
S&E,YR1B - Muddy,,Yellow River,Combined,1.37441348971587,2.57512513714715,1.10320876449523,0.100885417903008,5.51919211994705,6.7850118937918,0,0.505604555045297,33.4072772693706,0.0571655909492964,4.51348623838787,0.2152165998016,0,0.0571655909492964,0,0,38.7548882405975,5.03135909189849,0,0,0,,Yellow River,Yellow River
S&E,YR1 - pointbar combined,YR1,Yellow River,5-250,1.63312970563805,3.00731876220498,1.04991946889576,0.0504427089515038,5.18283369635836,6.69014307065546,0,,33.0929390411522,0.0285827954746482,5.61700901113299,0.186351296914063,0,0.0285827954746482,0,0,37.5722985543316,5.11504075732131,0,0,0,99.2545916645056,Yellow River,Yellow River
S&E,CH04/01/21-23,LGM Loess,Beig Loess - L1,40-63,1.48514851485149,1.48514851485149,0,0.495049504950495,2.47524752475248,2.47524752475248,0,0,35.6435643564356,0.495049504950495,2.97029702970297,0,0,0,0,0,41.0891089108911,11.3861386138614,0,0,0,100,Loess,Beiguyuan
S&E,CH04/01/21-23,LGM Loess,Beig Loess - L1,63-250,0,0.485436893203883,0,0,3.39805825242718,1.45631067961165,0,0,32.5242718446602,0,5.33980582524272,0.485436893203883,0,0,0,0,41.2621359223301,14.0776699029126,0.970873786407767,0,0,100,Loess,Beiguyuan
AB,CH04-01-30,,,40-250,3.24675324675325,8.44155844155844,3.57142857142857,0,5.51948051948052,4.87012987012987,0,0,27.2727272727273,4.87012987012987,6.81818181818182,1.94805194805195,1.62337662337662,0,0,0.649350649350649,22.7272727272727,8.44155844155844,0,0,0,,,
S&E,CH08 03-15,,Luochuan L1,15-63,0.490196078431373,2.94117647058823,0,0,3.92156862745098,8.33333333333333,0,0,42.6470588235294,1.96078431372549,3.43137254901961,0.490196078431373,0,0,0,0,33.8235294117647,1.96078431372549,0,0,0,100,Loess,Luochan
S&E,CH08 01-01,,Luochuan L8,15-63,0.925925925925926,4.16666666666667,0.925925925925926,0,6.01851851851852,5.09259259259259,0,0,45.8333333333333,0,2.31481481481481,1.85185185185185,0,0,0,0,31.4814814814815,0.925925925925926,0,0,0.462962962962963,100,Loess,Luochan
S&E,CH08 01-03,,Luochuan S12,15-63,0.495049504950495,1.98019801980198,0.99009900990099,0,3.46534653465347,6.93069306930693,0,0,43.0693069306931,0,2.47524752475248,0.99009900990099,0,0,0,0,38.6138613861386,0.99009900990099,0,0,0,100,Loess,Luochan
S&E,CH08 01-05,,Luochuan base WC,15-63,1.47058823529412,6.86274509803922,0.490196078431373,0.980392156862745,4.41176470588235,6.37254901960784,0,0,61.2745098039216,0,2.45098039215686,0.980392156862745,0,0,0,0,14.2156862745098,0,0,0,0.490196078431373,100,Loess,Luochan
AB,CH11-06-01,,L1,40-250,1.2987012987013,2.5974025974026,1.94805194805195,0,2.92207792207792,6.49350649350649,0,0,21.1038961038961,0.649350649350649,5.84415584415584,0,1.2987012987013,0,0.324675324675325,0.649350649350649,43.5064935064935,10.3896103896104,0.324675324675325,0,0.324675324675325,,Loess,Lingtai
AB,CH11-06-02,,L2,40-250,2.20125786163522,3.45911949685535,1.25786163522013,0,2.51572327044025,6.28930817610063,0,0,31.1320754716981,0,4.40251572327044,0,1.25786163522013,0,0,0.943396226415094,39.937106918239,6.60377358490566,0,0,0,,Loess,Lingtai
AB,CH11-06-05,,L5,40-250,1.8348623853211,2.75229357798165,0.91743119266055,0,3.36391437308869,9.78593272171254,0.305810397553517,0,24.1590214067278,3.36391437308869,6.11620795107034,1.52905198776758,0,0.305810397553517,0,0.611620795107034,37.0030581039755,7.95107033639144,0,0,0,,Loess,Lingtai
