site1-1,site1-2,site1-3,site1-4,site2-1,site2-2,site2-3,site2-4,site2-5,bedrock,site3,Area1,Area2,River,Area3
398.6,1084.9,224.3,3517.8,433.5,2358.2,525.5,403.7,404.6,320.5,121,416,311,279.5,2479.6
1980,503.2,415.9,828.1,403,517.2,473.8,349.7,516.6,1941,192,1653,310,418.5,1017.3
1980,290,1861.9,1681,217.3,2502.4,776.3,1078.1,2537.4,1891.7,289,261,217,271,807.4
1282.3,493.9,1311.2,332.4,240.5,445.1,1130.7,915.1,165.9,542.5,292,482,264,230.7,920.9
198.5,410.7,389.6,828.1,254.1,2140.3,2270.5,2534.5,1065,2420.9,339,527,226,1195,2668.5
346.1,1346,1938.7,1681,227.1,2358.2,1155.5,2390.4,2431,272.4,381,290,276,216.8,1034.5
248.7,750.5,2221.3,332.4,236.9,1828.7,2106.9,423.4,424.3,279.1,396,2580,251,387.2,2543.6
1282.3,278.4,465.3,1798.6,236.9,2502.4,683.2,419,425.4,945.7,407,492,786,914.1,968.3
198.5,493.9,487.8,1601.8,254.1,1966.3,415.1,1782.4,496.1,571.8,423,1183,292,2437.9,2125.2
346.1,865.3,1931.3,1849.7,270.1,420.5,1925.9,482.6,230.2,2310.9,427,281,877,471.2,489.4
714.7,410.7,1861.9,839.6,493.1,1821.1,268,1919,318.8,1805,429,293,242,405.6,427.6
243.4,263.9,1311.2,2003.7,227.1,1909.8,1050.6,1864.5,2431,1872,429,1539,248,228.1,219.2
398.3,449.5,389.6,257,253.8,1897.6,593,1420.2,221,2433.8,429,562,2528,740.5,328.6
511.6,328.7,1938.7,417.9,473.2,217.4,1824.8,712.6,449,2009.6,435,3212,330,2065.4,1851.2
201.6,1346,2221.3,2494.2,276.2,460.3,1791.3,1806.7,1868.9,3265,436,2946,385,498.4,932.4
714.7,750.5,465.3,232.5,2367.2,412.2,1776.4,385,499.8,1416,438,647,287,405.8,2523.1
394.1,2188.5,487.8,1849.7,2247,281,1760.5,1628.5,315.1,372.1,438,770,1925,413,644.2
419.9,240.6,1931.3,1964.8,490.2,1821.1,1756.4,610.5,469.3,327.6,446,218,1829,267.6,641.1
411.8,477.4,,401,2306.2,1764.3,1062.3,1519.9,1866.3,283.7,447,1886,387,1579.7,3575.4
421.3,274.7,,300.7,307.5,1740.7,394.3,1420.2,233.8,1816.8,448,1563,341,446.5,1599
275.5,875.9,,257,2064.6,1672.2,609.1,1168.6,1363.6,1903.5,450,470,299,421.7,1624.9
250.4,278.4,,417.9,427.3,1550.5,270.6,201.2,410.7,1868.1,451,109,234,417.1,2482
362.9,722.3,,273.5,286.8,295.5,2410.4,273.1,1750.3,1888.8,457,401,157,224.1,633.9
277.9,865.3,,2494.2,1000.6,276,463.6,1591.7,1080.3,2170.8,460,431,299,436.2,972.3
217.5,260.9,,444.1,316.3,1002,2450.2,338.4,200.2,2591.2,467,225,215,231,2508.9
411.8,263.9,,457.9,369.3,512.3,1130.7,246.6,281.1,3111.7,468,1937,223,492.3,215.8
2283.9,449.5,,1964.8,1443.3,454.3,1096.1,961.6,2497.5,1468,472,280,291,272.5,607.8
